,precision,recall,f1-score,support
0,0.1864951768488746,0.8246445497630331,0.30419580419580416,211.0
1,0.12408759124087591,0.6071428571428571,0.20606060606060606,28.0
2,0.13245033112582782,0.625,0.21857923497267762,32.0
3,0.11275964391691394,0.8260869565217391,0.19843342036553524,46.0
4,0.973255328040117,0.6408915795266924,0.7728554836568774,3634.0
accuracy,0.6524930397367755,0.6524930397367755,0.6524930397367755,0.6524930397367755
macro avg,0.30580961423452185,0.7047531885908643,0.3400249098503001,3951.0
weighted avg,0.908392850211047,0.6524930397367755,0.7326333364009224,3951.0
