,precision,recall,f1-score,support
0,0.11547619047619048,0.8899082568807339,0.20442571127502634,109.0
1,0.06666666666666667,0.8214285714285714,0.12332439678284184,28.0
2,0.1085972850678733,0.75,0.18972332015810275,32.0
3,0.14521452145214522,0.8380952380952381,0.24753867791842477,105.0
4,0.11176470588235295,0.8837209302325582,0.19843342036553527,43.0
5,0.9731081926203877,0.42817831590533845,0.5946875597171793,3634.0
accuracy,0.4621614781068084,0.4621614781068084,0.4621614781068084,0.4621614781068084
macro avg,0.2534712603609361,0.7685552187570733,0.2596888477028517,3951.0
weighted avg,0.9046462322547834,0.4621614781068084,0.5637624454956566,3951.0
